t,qps,read_qps,write_qps,block_lookups,block_hits,hit_ratio,read_p50_us,read_p95_us,read_p99_us,write_p99_us,compactions_running,compactions_done,flushes_done,trivial_moves,cache_live_mb,cache_stale_mb,stale_ids,sst_files,cache_charge_mb,invalidated_blocks,pf_evicted,pf_used,ssad_suspended,pf_inserted,pf_read_once,bg_lookups,bg_hits
1,8007,6504,1503,6386,2937,0.45991,256,272,280,24,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
2,8006,6505,1501,6369,3355,0.52677,12,272,296,36,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
3,8003,6501,1502,6309,3760,0.59597,8,264,280,49,0,0,0,0,63.96,0.02,1,86,63.96,0,0,0,0,0,0,24038,0
4,8007,6507,1500,6302,3693,0.58600,8,264,272,21,0,0,0,0,63.95,0.00,0,86,63.95,0,0,0,0,0,0,24038,0
5,8043,6538,1505,6389,3803,0.59524,8,264,272,21,0,0,0,0,63.96,0.01,1,86,63.96,0,0,0,0,0,0,24038,0
6,8015,6509,1506,6317,3529,0.55865,8,264,280,27,0,0,0,0,63.96,0.00,0,86,63.96,0,0,0,0,0,0,24038,0
7,8006,6504,1502,6322,3558,0.56280,6,264,272,17,0,0,0,0,63.96,0.12,1,86,63.96,0,0,0,0,0,0,24038,0
8,8002,6501,1501,6466,3419,0.52877,9,264,272,2368,1,0,1,0,63.96,0.02,1,87,63.96,0,0,0,0,0,0,25094,64
9,8018,6515,1503,6604,3324,0.50333,16,264,280,2816,1,1,0,0,63.96,0.05,4,97,63.96,0,0,0,0,0,0,30718,2321
10,8002,6502,1500,6588,3364,0.51063,13,264,280,2368,1,0,0,0,63.96,0.17,7,97,63.96,0,0,0,0,0,0,36521,4540
11,8039,6531,1508,6566,2101,0.31998,256,272,288,2368,1,1,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0,41596,6034
12,8004,6504,1500,6552,2427,0.37042,256,272,288,1760,1,0,0,0,63.97,0.06,1,100,63.97,0,0,0,0,0,0,45875,6613
13,8004,6503,1501,6553,2881,0.43965,256,272,280,3008,1,1,0,0,63.97,0.11,4,97,63.97,0,0,0,0,0,0,50104,7202
14,8042,6535,1507,6568,2916,0.44397,256,272,280,2016,1,0,0,0,63.97,0.05,2,97,63.97,0,0,0,0,0,0,55229,8652
15,8001,6505,1496,6562,2765,0.42137,256,272,288,1504,1,1,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0,58882,8652
16,8006,6500,1506,6549,2675,0.40846,256,272,288,240,1,0,0,0,63.97,0.00,0,100,63.97,0,0,0,0,0,0,63169,9223
17,8005,6505,1500,6556,2665,0.40650,256,272,288,456,1,0,0,0,63.97,0.03,1,100,63.97,0,0,0,0,0,0,67501,9881
18,8005,6504,1501,6527,2832,0.43389,264,272,288,1632,1,1,0,0,63.97,0.00,0,103,63.97,0,0,0,0,0,0,72052,10838
19,8003,6503,1500,6502,2645,0.40680,256,272,288,2624,1,0,0,0,63.97,0.02,1,103,63.97,0,0,0,0,0,0,77434,12646
20,8004,6502,1502,6521,2450,0.37571,256,272,288,2112,1,1,0,0,63.97,0.02,2,106,63.97,0,0,0,0,0,0,81227,12770
21,8005,6505,1500,6505,2670,0.41045,256,272,280,2624,1,0,0,0,63.97,0.09,1,106,63.97,0,0,0,0,0,0,86740,14686
22,8003,6503,1500,6482,2870,0.44276,256,272,280,176,1,0,0,0,63.97,0.04,2,106,63.97,0,0,0,0,0,0,90975,15240
23,8002,6500,1502,6472,2551,0.39416,256,272,288,2176,1,1,0,0,63.96,0.01,1,103,63.96,0,0,0,0,0,0,94833,15422
24,8030,6526,1504,6490,2305,0.35516,256,272,320,2048,1,0,0,0,63.96,0.17,3,103,63.96,0,0,0,0,0,0,99832,16813
25,8007,6507,1500,6462,2171,0.33596,256,272,280,2176,1,1,0,0,63.96,0.25,5,106,63.96,0,0,0,0,0,0,103611,16904
26,8030,6522,1508,6454,2056,0.31856,264,272,280,36,1,0,0,0,63.96,0.05,1,106,63.96,0,0,0,0,0,0,107551,17240
27,8016,6512,1504,6431,2337,0.36340,264,272,280,160,1,0,0,0,63.96,0.07,3,106,63.96,0,0,0,0,0,0,111635,17784
28,8020,6516,1504,6412,2673,0.41687,264,272,288,1920,1,1,0,0,63.96,0.09,3,109,63.96,0,0,0,0,0,0,115245,17784
29,8006,6505,1501,6399,3113,0.48648,240,272,296,720,1,0,0,0,63.96,0.07,1,109,63.96,0,0,0,0,0,0,118990,17869
30,8005,6505,1500,6410,3116,0.48612,236,264,280,592,1,0,0,0,63.96,0.11,2,109,63.96,0,0,0,0,0,0,123833,19031
31,8030,6524,1506,6417,3018,0.47031,256,272,280,2368,1,1,0,0,63.96,0.00,0,112,63.96,0,0,0,0,0,0,127911,19465
32,8005,6504,1501,6391,3041,0.47583,256,272,280,29,1,0,0,0,63.96,0.09,2,112,63.96,0,0,0,0,0,0,131815,19634
33,8023,6521,1502,6371,3209,0.50369,13,272,280,2304,0,1,0,0,63.96,0.11,6,115,63.96,0,0,0,0,0,0,136017,20311
34,8009,6505,1504,6348,2921,0.46014,256,272,280,256,0,1,0,0,63.96,0.00,0,114,63.96,0,0,0,0,0,0,137201,20684
35,8032,6529,1503,6396,3088,0.48280,256,272,280,24,0,0,0,0,63.96,0.06,1,114,63.96,0,0,0,0,0,0,137201,20684
36,8005,6501,1504,6345,3091,0.48716,232,264,272,20,0,0,0,0,63.96,0.01,1,114,63.96,0,0,0,0,0,0,137201,20684
37,8035,6529,1506,6356,3357,0.52816,9,272,272,22,0,0,0,0,63.96,0.00,0,114,63.96,0,0,0,0,0,0,137201,20684
38,8003,6505,1498,6341,3478,0.54849,8,272,272,21,0,0,0,0,63.95,0.00,1,114,63.95,0,0,0,0,0,0,137201,20684
39,8007,6503,1504,6327,3272,0.51715,13,272,280,30,0,0,0,0,63.95,0.00,0,114,63.95,0,0,0,0,0,0,137201,20684
40,8006,6506,1500,6364,2721,0.42756,256,272,272,36,0,0,0,0,63.95,0.14,4,114,63.95,0,0,0,0,0,0,137201,20684
41,8005,6504,1501,6375,2401,0.37663,264,272,280,32,0,0,0,0,63.95,0.01,1,114,63.95,0,0,0,0,0,0,137201,20684
42,8010,6510,1500,6366,2532,0.39774,264,272,280,26,0,0,0,0,63.95,0.15,1,114,63.95,0,0,0,0,0,0,137201,20684
43,8003,6500,1503,6399,2394,0.37412,264,272,272,23,0,0,0,0,63.95,0.01,1,114,63.95,0,0,0,0,0,0,137201,20684
44,8005,6503,1502,6410,2196,0.34259,264,272,280,22,0,0,0,0,63.95,0.13,1,114,63.95,0,0,0,0,0,0,137201,20684
45,8004,6504,1500,6447,2679,0.41554,256,264,272,21,0,0,0,0,63.95,0.38,4,114,63.95,0,0,0,0,0,0,137201,20684
46,8003,6505,1498,6539,2904,0.44410,256,264,280,2880,1,1,1,0,63.96,0.14,7,126,63.96,0,0,0,0,0,0,139781,21047
47,8007,6502,1505,6579,2784,0.42316,256,272,280,1696,1,0,0,0,63.96,0.30,3,126,63.96,0,0,0,0,0,0,144606,22220
48,8005,6505,1500,6579,2760,0.41952,256,272,288,2016,0,1,0,0,63.97,0.21,2,126,63.97,0,0,0,0,0,0,149408,23388
49,8063,6552,1511,6618,2244,0.33908,256,272,288,2176,1,0,0,0,63.97,0.03,1,125,63.97,0,0,0,0,0,0,154348,24682
50,8003,6501,1502,6565,2380,0.36253,256,272,288,43,1,0,0,0,63.97,0.00,0,125,63.97,0,0,0,0,0,0,158263,24892
51,8021,6518,1503,6573,2767,0.42096,256,272,280,2496,1,1,0,0,63.97,0.19,2,124,63.97,0,0,0,0,0,0,163278,26299
52,8002,6501,1501,6564,2825,0.43038,256,272,288,912,1,0,0,0,63.97,0.14,3,124,63.97,0,0,0,0,0,0,167042,26367
53,8006,6505,1501,6550,3018,0.46076,256,272,280,2432,1,1,0,0,63.97,0.05,1,122,63.97,0,0,0,0,0,0,172447,28206
54,8004,6503,1501,6545,3008,0.45959,256,272,288,1984,1,0,0,0,63.96,0.05,1,122,63.96,0,0,0,0,0,0,177010,29110
55,8003,6503,1500,6529,2763,0.42319,256,272,280,2816,1,1,0,0,63.97,0.03,1,121,63.96,0,0,0,0,0,0,181827,30330
56,8034,6528,1506,6541,2858,0.43694,256,272,280,440,1,0,0,0,63.96,0.00,0,121,63.96,0,0,0,0,0,0,185974,30775
57,8011,6509,1502,6515,3190,0.48964,252,272,280,2176,0,1,0,0,63.96,0.09,1,121,63.96,0,0,0,0,0,0,190179,31333
58,8027,6522,1505,6506,3184,0.48939,252,272,288,42,1,0,0,0,63.96,0.00,0,120,63.96,0,0,0,0,0,0,194107,31544
59,8009,6508,1501,6501,3072,0.47254,256,272,280,296,1,0,0,0,63.96,0.20,5,120,63.96,0,0,0,0,0,0,198257,32001
60,8012,6508,1504,6506,2616,0.40209,256,272,288,1632,1,1,0,0,63.96,0.13,2,119,63.96,0,0,0,0,0,0,202299,32409
61,8003,6502,1501,6472,2682,0.41440,264,272,288,408,1,0,0,0,63.96,0.15,3,119,63.96,0,0,0,0,0,0,205986,32413
62,8036,6531,1505,6511,2589,0.39763,256,272,280,1824,1,1,0,0,63.96,0.19,3,118,63.96,0,0,0,0,0,0,210680,33493
63,8025,6521,1504,6500,2515,0.38692,256,272,288,36,1,0,0,0,63.96,0.04,1,118,63.96,0,0,0,0,0,0,215702,34849
64,8005,6503,1502,6483,2418,0.37298,256,272,312,1728,1,0,0,0,63.96,0.13,2,118,63.96,0,0,0,0,0,0,220686,36205
65,8032,6525,1507,6500,1973,0.30354,264,272,288,1792,1,1,0,0,63.96,0.03,2,117,63.96,0,0,0,0,0,0,224687,36556
66,8029,6523,1506,6474,2470,0.38153,264,272,280,240,1,0,0,0,63.96,0.00,0,117,63.96,0,0,0,0,0,0,229040,37244
67,8004,6504,1500,6430,2468,0.38383,256,272,280,2752,1,1,0,0,63.96,0.24,5,116,63.96,0,0,0,0,0,0,233477,38056
68,8031,6525,1506,6445,2738,0.42483,256,272,280,74,1,0,0,0,63.96,0.18,3,116,63.96,0,0,0,0,0,0,238118,39024
69,8009,6509,1500,6413,2949,0.45985,256,272,280,2432,1,1,0,0,63.96,0.60,10,115,63.96,0,0,0,0,0,0,242304,39632
70,8019,6517,1502,6440,3023,0.46941,256,272,280,2112,1,0,0,0,63.96,0.54,7,115,63.96,0,0,0,0,0,0,246475,40148
71,8010,6507,1503,6409,2703,0.42175,256,272,280,328,1,0,0,0,63.96,0.24,3,115,63.96,0,0,0,0,0,0,250661,40650
72,8009,6507,1502,6433,2431,0.37790,256,272,272,47,0,1,0,0,63.96,0.30,3,113,63.96,0,0,0,0,0,0,251315,40650
73,8005,6503,1502,6398,2423,0.37871,264,272,280,24,0,0,0,0,63.95,0.27,4,113,63.95,0,0,0,0,0,0,251315,40650
74,8006,6505,1501,6420,2732,0.42555,264,272,272,20,0,0,0,0,63.95,0.00,0,113,63.95,0,0,0,0,0,0,251315,40650
75,8038,6530,1508,6415,2818,0.43928,256,272,272,21,0,0,0,0,63.95,0.09,2,113,63.95,0,0,0,0,0,0,251315,40650
76,8004,6504,1500,6408,2954,0.46099,256,264,280,21,0,0,0,0,63.96,0.00,0,113,63.96,0,0,0,0,0,0,251315,40650
77,8004,6503,1501,6386,3120,0.48857,252,272,272,20,0,0,0,0,63.96,0.09,1,113,63.96,0,0,0,0,0,0,251315,40650
78,8005,6504,1501,6391,3067,0.47989,256,272,280,24,0,0,0,0,63.96,0.00,0,113,63.96,0,0,0,0,0,0,251315,40650
79,8007,6505,1502,6396,3089,0.48296,256,272,280,23,0,0,0,0,63.96,0.04,1,113,63.96,0,0,0,0,0,0,251315,40650
80,8003,6504,1499,6397,2885,0.45099,256,272,280,23,0,0,0,0,63.95,0.00,0,113,63.95,0,0,0,0,0,0,251315,40650
81,8006,6504,1502,6393,2777,0.43438,256,272,280,24,0,0,0,0,63.96,0.11,4,113,63.96,0,0,0,0,0,0,251315,40650
82,8005,6505,1500,6375,2931,0.45976,256,272,272,22,0,0,0,0,63.96,0.00,0,113,63.96,0,0,0,0,0,0,251315,40650
83,8008,6505,1503,6425,3294,0.51268,10,272,272,2176,1,0,1,0,63.96,0.11,2,114,63.96,0,0,0,0,0,0,251765,40659
84,8003,6503,1500,6608,3025,0.45778,256,264,288,3072,1,1,0,0,63.96,0.07,3,123,63.96,0,0,0,0,0,0,256261,41999
85,8037,6530,1507,6627,3578,0.53991,10,272,288,144,1,0,0,0,63.97,0.00,0,123,63.97,0,0,0,0,0,0,259990,41999
86,8001,6501,1500,6624,4101,0.61911,6,264,280,2016,1,1,0,0,63.97,0.24,5,122,63.97,0,0,0,0,0,0,265266,43657
87,8006,6506,1500,6557,3965,0.60470,8,272,280,896,1,0,0,0,63.97,0.00,0,122,63.97,0,0,0,0,0,0,269020,43708
88,8005,6505,1500,6542,3509,0.53638,11,272,280,2176,1,0,0,0,63.97,0.00,0,122,63.97,0,0,0,0,0,0,273216,44211
89,8005,6502,1503,6521,2985,0.45775,256,272,288,2048,1,1,0,0,63.97,0.11,2,121,63.97,0,0,0,0,0,0,276882,44212
90,8005,6505,1500,6531,3420,0.52366,12,272,280,23,1,0,0,0,63.97,0.00,0,121,63.97,0,0,0,0,0,0,281654,45328
91,8005,6505,1500,6511,3365,0.51682,12,272,280,2240,1,1,0,0,63.97,0.53,9,120,63.97,0,0,0,0,0,0,286777,46870
92,8035,6526,1509,6528,3182,0.48744,256,272,280,272,1,0,0,0,63.97,0.13,6,120,63.97,0,0,0,0,0,0,290511,46870
93,8007,6507,1500,6510,3552,0.54562,10,272,280,2112,1,1,0,0,63.97,0.17,5,119,63.97,0,0,0,0,0,0,294168,46870
94,8022,6519,1503,6527,3425,0.52474,12,272,280,96,1,0,0,0,63.96,0.22,8,119,63.96,0,0,0,0,0,0,298532,47539
95,8003,6501,1502,6502,3098,0.47647,256,272,280,1792,1,0,0,0,63.96,0.00,0,119,63.96,0,0,0,0,0,0,303822,49226
